Exp,Site,Hole,Core,Type,Sect,Top depth CSF-B (m),Bottom depth CSF-B (m),top_depth,bot_depth
159,959,A,30,X,1,274,275.489,300.02,301.509
159,959,A,30,X,2,275.489,276.978,301.509,302.998
159,959,A,30,X,3,276.978,278.468,302.998,304.488
159,959,A,30,X,4,278.468,279.957,304.488,305.977
159,959,A,30,X,5,279.957,281.446,305.977,307.466
159,959,A,30,X,6,281.446,282.935,307.466,308.955
159,959,A,30,X,7,282.935,283.402,308.955,309.422
159,959,A,30,X,CC,283.402,283.7,309.422,309.72
159,959,A,31,X,1,283.7,285.2,310.29,311.79
159,959,A,31,X,2,285.2,286.7,311.79,313.29
159,959,A,31,X,3,286.7,288.2,313.29,314.79
159,959,A,31,X,4,288.2,289.7,314.79,316.29
159,959,A,31,X,5,289.7,291.2,316.29,317.79
159,959,A,31,X,6,291.2,292.2,317.79,318.79
159,959,A,31,X,7,292.2,292.78,318.79,319.37
159,959,A,31,X,CC,292.78,292.95,319.37,319.54
159,959,A,32,X,1,293.3,294.8,320.39,321.89
159,959,A,32,X,2,294.8,296.3,321.89,323.39
159,959,A,32,X,3,296.3,297.8,323.39,324.89
159,959,A,32,X,4,297.8,299.3,324.89,326.39
159,959,A,32,X,5,299.3,300.8,326.39,327.89
159,959,A,32,X,6,300.8,302.3,327.89,329.39
159,959,A,32,X,7,302.3,302.62,329.39,329.71
159,959,A,33,X,1,303,304.5,330.59,332.09
159,959,A,33,X,2,304.5,306,332.09,333.59
159,959,A,33,X,3,306,307.5,333.59,335.09
159,959,A,33,X,4,307.5,309,335.09,336.59
159,959,A,33,X,5,309,310.5,336.59,338.09
159,959,A,33,X,6,310.5,312,338.09,339.59
159,959,A,33,X,7,312,312.25,339.59,339.84
159,959,A,33,X,CC,312.25,312.48,339.84,340.07
159,959,A,34,X,1,312.6,314.078,340.69,342.168
159,959,A,34,X,2,314.078,315.557,342.168,343.647
159,959,A,34,X,3,315.557,317.035,343.647,345.125
159,959,A,34,X,4,317.035,318.514,345.125,346.604
159,959,A,34,X,5,318.514,319.992,346.604,348.082
159,959,A,34,X,6,319.992,321.47,348.082,349.56
159,959,A,34,X,7,321.47,321.963,349.56,350.053
159,959,A,34,X,CC,321.963,322.2,350.053,350.29
159,959,A,35,X,1,322.2,323.674,350.93,352.40
159,959,A,35,X,2,323.674,325.148,352.40,353.88
159,959,A,35,X,3,325.148,326.622,353.88,355.35
159,959,A,35,X,4,326.622,328.096,355.35,356.83
159,959,A,35,X,5,328.096,329.57,356.83,358.30
159,959,A,35,X,6,329.57,331.043,358.30,359.77
159,959,A,35,X,7,331.043,331.486,359.77,360.22
159,959,A,35,X,CC,331.486,331.8,360.22,360.53
159,959,A,36,X,1,331.8,333.254,361.20,362.65
159,959,A,36,X,2,333.254,334.707,362.65,364.11
159,959,A,36,X,3,334.707,336.161,364.11,365.56
159,959,A,36,X,4,336.161,337.614,365.56,367.01
159,959,A,36,X,5,337.614,339.067,367.01,368.47
159,959,A,36,X,6,339.067,340.521,368.47,369.92
159,959,A,36,X,7,340.521,341.064,369.92,370.46
159,959,A,36,X,CC,341.064,341.5,370.46,370.90
159,959,A,37,X,1,341.5,342.983,371.71,373.19
159,959,A,37,X,2,342.983,344.466,373.19,374.68
159,959,A,37,X,3,344.466,345.95,374.68,376.16
159,959,A,37,X,4,345.95,347.433,376.16,377.64
159,959,A,37,X,5,347.433,348.916,377.64,379.13
159,959,A,37,X,6,348.916,350.399,379.13,380.61
159,959,A,37,X,7,350.399,350.834,380.61,381.04
159,959,A,37,X,CC,350.834,351.2,381.04,381.41
159,959,A,38,X,1,351.2,352.655,382.02,383.48
159,959,A,38,X,2,352.655,354.109,383.48,384.93
159,959,A,38,X,3,354.109,355.564,384.93,386.38
159,959,A,38,X,4,355.564,357.018,386.38,387.84
159,959,A,38,X,5,357.018,358.473,387.84,389.29
159,959,A,38,X,6,358.473,359.927,389.29,390.75
159,959,A,38,X,7,359.927,360.364,390.75,391.18
159,959,A,38,X,CC,360.364,360.8,391.18,391.62
159,959,A,39,X,1,360.8,362.277,392.42,393.90
159,959,A,39,X,2,362.277,363.754,393.90,395.37
159,959,A,39,X,3,363.754,365.232,395.37,396.85
159,959,A,39,X,4,365.232,366.709,396.85,398.33
159,959,A,39,X,5,366.709,368.186,398.33,399.81
159,959,A,39,X,6,368.186,369.663,399.81,401.28
159,959,A,39,X,7,369.663,370.106,401.28,401.73
159,959,A,39,X,CC,370.106,370.5,401.73,402.12
159,959,A,40,X,1,370.5,371.98,402.77,404.25
159,959,A,40,X,2,371.98,373.46,404.25,405.73
159,959,A,40,X,3,373.46,374.941,405.73,407.21
159,959,A,40,X,4,374.941,376.421,407.21,408.69
159,959,A,40,X,5,376.421,377.901,408.69,410.17
159,959,A,40,X,6,377.901,379.381,410.17,411.65
159,959,A,40,X,7,379.381,379.835,411.65,412.11
159,959,A,40,X,CC,379.835,380.2,412.11,412.47
159,959,A,41,X,1,380.2,381.674,413.10,414.57
159,959,A,41,X,2,381.674,383.148,414.57,416.05
159,959,A,41,X,3,383.148,384.622,416.05,417.52
159,959,A,41,X,4,384.622,386.096,417.52,419.00
159,959,A,41,X,5,386.096,387.57,419.00,420.47
159,959,A,41,X,6,387.57,389.043,420.47,421.94
159,959,A,41,X,7,389.043,389.476,421.94,422.38
159,959,A,41,X,CC,389.476,389.8,422.38,422.70
159,959,A,42,X,1,389.8,391.263,423.37,424.83
159,959,A,42,X,2,391.263,392.725,424.83,426.30
159,959,A,42,X,3,392.725,394.188,426.30,427.76
159,959,A,42,X,4,394.188,395.651,427.76,429.22
159,959,A,42,X,5,395.651,397.113,429.22,430.68
159,959,A,42,X,6,397.113,398.576,430.68,432.15
159,959,A,42,X,7,398.576,398.79,432.15,432.36
159,959,A,42,X,CC,398.79,399.2,432.36,432.77
159,959,A,43,X,1,399.2,400.615,433.51,434.93
159,959,A,43,X,2,400.615,402.03,434.93,436.34
159,959,A,43,X,3,402.03,403.444,436.34,437.75
159,959,A,43,X,4,403.444,404.859,437.75,439.17
159,959,A,43,X,5,404.859,406.274,439.17,440.58
159,959,A,43,X,6,406.274,407.689,440.58,442.00
159,959,A,43,X,7,407.689,408.123,442.00,442.43
159,959,A,43,X,CC,408.123,408.5,442.43,442.81
159,959,A,44,X,1,408.5,409.983,443.87,445.35
159,959,A,44,X,2,409.983,411.466,445.35,446.84
159,959,A,44,X,3,411.466,412.949,446.84,448.32
159,959,A,44,X,4,412.949,414.432,448.32,449.80
159,959,A,44,X,5,414.432,415.915,449.80,451.29
159,959,A,44,X,6,415.915,417.398,451.29,452.77
159,959,A,44,X,7,417.398,417.556,452.77,452.93
