file,site,hole,type,core,section,distance_from_core_top1,mean_greyscale_values1,standard_deviation_of_greyscale_values1,median_of_greyscale_values1,mean_red_values1,standard_deviation_of_red_values1,median_of_red_values1,mean_green_values1,standard_deviation_of_green_values1,median_of_green_values1,mean_blue_values1,standard_deviation_of_blue_values1,median_of_blue_values1,distance_from_core_top2,mean_greyscale_values2,standard_deviation_of_greyscale_values2,median_of_greyscale_values2,mean_red_values2,standard_deviation_of_red_values2,median_of_red_values2,mean_green_values2,standard_deviation_of_green_values2,median_of_green_values2,mean_blue_values2,standard_deviation_of_blue_values2,median_of_blue_values2,Exp,Top depth CSF-B (m),Bottom depth CSF-B (m),top_depth,bot_depth,depth,age,colour
959A30X-1.dat,959,A,X,30,1,0.5,40.010142,61.637464,0,13.961968,21.343179,0,13.260649,21.008925,0,12.787525,19.433765,0,0.5,133.63985,43.456252,130,46.346743,14.985613,45,45.151341,15.156449,44,42.141762,13.739244,41,159,274,275.489,300.02,301.509,300.025,20.802,#2E2D2A
959A30X-1.dat,959,A,X,30,1,1.5,39.259635,65.342291,0,13.569473,22.610431,0,13.050203,22.702609,0,12.639959,20.239589,0,1.5,142.63067,58.470732,130,49.235421,20.490592,45,48.600432,21.61945,44,44.794816,16.90331,41,159,274,275.489,300.02,301.509,300.03499999999997,20.802799999999998,#31302C
959A30X-1.dat,959,A,X,30,1,2.5,43.376775,57.388937,18,15.210953,20.033866,7,13.135396,19.468389,3,15.030426,18.222206,8,2.5,127.56487,49.496609,114,44.500998,17.244434,40,41.566866,17.966915,37,41.497006,14.810621,38,159,274,275.489,300.02,301.509,300.04499999999996,20.803599999999996,#2C2929
959A30X-1.dat,959,A,X,30,1,3.5,66.255578,60.927747,53,23.838742,21.345444,20,20.484787,20.735371,15,21.932049,19.200838,18,3.5,123.30289,45.940892,116,43.69711,16.128414,41,39.724855,16.470109,37,39.880925,13.884641,38,159,274,275.489,300.02,301.509,300.055,20.8044,#2B2727
959A30X-1.dat,959,A,X,30,1,4.5,63.612576,55.610563,55,22.754564,19.298836,20,19.310345,19.020058,15,21.547667,17.62091,19,4.5,115.06092,41.62084,105,40.578161,14.123579,37,36.936782,14.603211,34,37.545977,13.23609,34,159,274,275.489,300.02,301.509,300.065,20.8052,#282425
959A30X-1.dat,959,A,X,30,1,5.5,59.811422,56.708656,48,21.447198,19.835344,18,18.40194,19.157823,13,19.962284,18.012954,17,5.5,115.99233,40.217048,108,41.121483,13.619461,38.5,37.438619,13.982546,35,37.432225,12.961971,35,159,274,275.489,300.02,301.509,300.075,20.805999999999997,#292525
959A30X-1.dat,959,A,X,30,1,6.5,71.425456,61.884936,67,25.881846,21.658006,25,22.411765,21.324456,19.5,23.131846,19.104027,22,6.5,121.01093,45.597797,109.5,43.247515,15.63315,39,39.305169,16.500062,35,38.45825,13.777686,35,159,274,275.489,300.02,301.509,300.085,20.8068,#2B2726
959A30X-1.dat,959,A,X,30,1,7.5,76.664807,56.542111,71,28.06288,19.69983,26,23.701318,19.527642,21,24.900609,17.575185,24,7.5,116.53656,42.670165,105,41.890311,14.809706,38,37.308044,15.363339,33,37.338208,12.894067,35,159,274,275.489,300.02,301.509,300.09499999999997,20.807599999999997,#292525
959A30X-1.dat,959,A,X,30,1,8.5,68.184584,61.959041,60,24.808824,21.595127,22,20.973631,21.011517,17,22.40213,19.657934,20,8.5,119.34479,51.524003,103,42.619764,17.756277,37,38.098818,18.265689,32,38.626208,15.914014,34,159,274,275.489,300.02,301.509,300.10499999999996,20.808399999999995,#2A2626
959A30X-1.dat,959,A,X,30,1,9.5,45.174949,51.17553,24,16.391481,17.979663,9,13.792596,16.800651,6,14.990872,16.611352,9,9.5,113.63095,36.259967,107.5,40.455782,12.305859,38,36.267007,12.270037,34,36.908163,12.09073,35,159,274,275.489,300.02,301.509,300.115,20.8092,#282424
959A30X-1.dat,959,A,X,30,1,10.5,57.763692,54.08984,42,20.375254,18.367138,16,17.263185,17.755862,12,20.125254,18.089019,15,10.5,114.71063,38.303622,108,39.693982,12.786905,37,35.930858,12.920678,33,39.085787,12.802907,37,159,274,275.489,300.02,301.509,300.125,20.81,#272327
959A30X-1.dat,959,A,X,30,1,11.5,83.640467,64.370543,77.5,29.974645,22.521952,28,26.398073,22.253675,23,27.267748,19.970483,26,11.5,127.04505,49.673814,114,45.088339,17.374717,41,41.19788,17.835967,37,40.758834,14.968495,37,159,274,275.489,300.02,301.509,300.135,20.8108,#2D2928
959A30X-1.dat,959,A,X,30,1,12.5,86.119168,66.88247,79,30.94929,23.166778,29,27.22211,23.058577,25,27.947769,20.951366,26,12.5,131.79068,50.222149,122,46.818821,17.150347,44,42.904134,17.639398,39,42.067722,15.800466,39,159,274,275.489,300.02,301.509,300.145,20.8116,#2E2A2A
959A30X-1.dat,959,A,X,30,1,13.5,69.654665,59.798961,61,25.796146,21.080841,23,21.084178,20.415348,17,22.774341,18.682514,21,13.5,120.56137,45.018547,108,43.778015,15.400557,40,38.403415,16.171672,34,38.379936,13.949112,35,159,274,275.489,300.02,301.509,300.155,20.812399999999997,#2B2626
